seed,dataset,feature,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
42,ETTh1,2,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.3769956138534234,0.1928119715643586,0.3300501134189012,0.6679585048881993,0.0357133150100708,0.0,0.4954970654316556,0.2737938546037787
42,ETTh1,3,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.2649337073153051,0.1275617086687651,0.2528103066248187,1.603813692251687,0.6641993522644043,0.0,0.0165928998717191,0.2737938546037787
42,ETTh1,4,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.0866462175212348,0.0491675718121348,0.408875745687064,0.471314172548757,0.2846326828002929,8.0,0.3029887978118188,0.2737938546037787
42,ETTh1,5,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.64691285595337,0.3240427913705026,0.3934334281743556,1.074903320858187,0.7947039008140564,15.0,0.7732196826982792,0.2737938546037787
42,ETTh1,6,CNN,MTT,300,0.0,0.3807109834068176,0.4978187381991914,0.0470549302252897,0.1774676481327294,0.1334895870342629,2.356018668484729,0.8428152799606323,1.0,0.1309548427671327,0.2737938546037787
42,ETTh1,0,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.3452918260178847,0.1703987614606932,0.2899987998950619,0.7162528886281828,0.0655336380004882,0.0,0.4203812553026729,0.275170136805375
42,ETTh1,1,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.3650304642439988,0.1889827103149567,0.1953056371122477,1.847275063243788,0.6729780435562134,0.0,0.0703376707268272,0.275170136805375
42,ETTh1,2,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.3745612044156068,0.1917136411364765,0.2970450697850362,0.6879229316623556,0.0294715762138366,0.0,0.4459471970221315,0.275170136805375
42,ETTh1,3,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.2551841761303063,0.1251236311556581,0.2275292814234469,1.5829523831470869,0.6787692904472351,0.0,0.0149335270586722,0.275170136805375
42,ETTh1,4,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.080919033719237,0.0475129103259495,0.3679881603301982,0.4916443069279337,0.3065460324287414,8.0,0.2726899530661276,0.275170136805375
42,ETTh1,5,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.6214546145726293,0.3174287729066637,0.3540900954367638,1.038599789984455,0.801240861415863,15.0,0.6958977146069697,0.275170136805375
42,ETTh1,6,CNN,MTT,300,0.1,0.3807109834068176,0.4875646869861296,0.0452365643387777,0.1767917546396044,0.1201406168896344,2.3463271970849267,0.8492462635040283,0.0,0.117859282288993,0.275170136805375
42,ETTh1,0,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.3422702007937762,0.1685026114253936,0.2577766933437442,0.7388812896636198,0.1217677593231201,0.0,0.3736722011002628,0.2765916660865163
42,ETTh1,1,CNN,MTT,300,0.2,0.3807109834068176,0.4640195991194553,0.3484486374117312,0.1848578803460798,0.1736050005327136,1.832672412853245,0.679969310760498,0.0,0.0625224449910849,0.2765916660865163
