dataset,model,seed,epoch,train_loss,val_loss,param_movement_raw,param_movement_smooth,segment_id,is_boundary
ETTh1,CNN,7,69,0.34838951,0.65438462,0.05028991,0.05105427,1,False
ETTh1,CNN,7,70,0.35183171,0.6514977,0.04407838,0.04997782,1,False
ETTh1,CNN,7,71,0.34831795,0.65236051,0.04982717,0.04698108,1,False
ETTh1,CNN,7,72,0.34965698,0.65483816,0.04333432,0.04574852,1,False
ETTh1,CNN,7,73,0.34906419,0.65408002,0.0473756,0.04533206,1,False
ETTh1,CNN,7,74,0.35014394,0.65744427,0.04412714,0.04375147,1,False
ETTh1,CNN,7,75,0.34800447,0.65636237,0.04199607,0.04344154,1,False
ETTh1,CNN,7,76,0.34851444,0.65891985,0.04192422,0.04495889,1,False
ETTh1,CNN,7,77,0.34879472,0.65615058,0.04178465,0.05684912,1,False
ETTh1,CNN,7,78,0.36187703,0.66673036,0.05496238,0.06076703,1,False
ETTh1,CNN,7,79,0.35411529,0.65167872,0.10357829,0.06547773,1,False
ETTh1,CNN,7,80,0.34961989,0.65809994,0.06158559,0.07337542,1,False
ETTh2,DLinear,7,1,0.46080575,0.26143086,0.90447661,0.55937155,0,False
ETTh2,DLinear,7,2,0.42094603,0.25421101,0.47333081,0.47320215,0,False
ETTh2,DLinear,7,3,0.41168879,0.24407561,0.30030724,0.41318753,0,False
ETTh2,DLinear,7,4,0.4072676,0.23724276,0.21469396,0.26255098,0,False
ETTh2,DLinear,7,5,0.40279539,0.24753169,0.17312903,0.21819911,0,False
ETTh2,DLinear,7,6,0.4633875,0.26655034,0.15129386,0.1860043,0,False
ETTh2,DLinear,7,7,0.41057714,0.24689212,0.25157144,0.16738964,0,False
ETTh2,DLinear,7,8,0.40034297,0.23793432,0.13933318,0.15544364,0,False
ETTh2,DLinear,7,9,0.39865132,0.24849063,0.1216207,0.14425796,0,False
ETTh2,DLinear,7,10,0.39994273,0.23680489,0.11339899,0.11137097,0,False
ETTh2,DLinear,7,11,0.39793559,0.23822955,0.09536546,0.10173783,0,False
ETTh2,DLinear,7,12,0.39795893,0.24214141,0.08713649,0.09448812,0,False
ETTh2,DLinear,7,13,0.39531356,0.24633548,0.0911675,0.09068686,0,False
ETTh2,DLinear,7,14,0.4035318,0.23341898,0.08537218,0.088228,0,False
ETTh2,DLinear,7,15,0.39461741,0.25095838,0.09439266,0.08572471,1,True
ETTh2,DLinear,7,16,0.39455234,0.23411746,0.08307115,0.08110818,1,False
ETTh2,DLinear,7,17,0.39810219,0.2352614,0.07462004,0.08364184,1,False
ETTh2,DLinear,7,18,0.40511295,0.22778789,0.06808487,0.07986083,1,False
ETTh2,DLinear,7,19,0.39612993,0.24940363,0.09804046,0.07658975,1,False
ETTh2,DLinear,7,20,0.39505036,0.23249222,0.07548766,0.07311869,1,False
ETTh2,DLinear,7,21,0.39306831,0.24376217,0.0667157,0.0712057,1,False
ETTh2,DLinear,7,22,0.39332933,0.24627553,0.05726474,0.06206604,1,False
ETTh2,DLinear,7,23,0.39262919,0.23694444,0.05851994,0.05766322,1,False
ETTh2,DLinear,7,24,0.39278301,0.24032049,0.05234217,0.05687216,1,False
ETTh2,DLinear,7,25,0.3939824,0.23928495,0.05347355,0.06877956,1,False
ETTh2,DLinear,7,26,0.41874202,0.24085556,0.06276041,0.06951737,1,False
ETTh2,DLinear,7,27,0.39460778,0.24636437,0.11680172,0.06882839,1,False
ETTh2,DLinear,7,28,0.39258444,0.23378238,0.06220901,0.06903774,1,False
ETTh2,DLinear,7,29,0.39388065,0.24334031,0.04889729,0.06836567,1,False
ETTh2,DLinear,7,30,0.39212016,0.24164201,0.05452029,0.05503123,1,False
ETTh2,DLinear,7,31,0.39212846,0.23032798,0.05940003,0.05196084,1,False
ETTh2,DLinear,7,32,0.39231502,0.24290564,0.05012953,0.0512713,1,False
ETTh2,DLinear,7,33,0.39155784,0.23217054,0.04685706,0.04917636,1,False
ETTh2,DLinear,7,34,0.39168646,0.23973332,0.04544961,0.04631868,1,False
ETTh2,DLinear,7,35,0.39158304,0.23617998,0.04404558,0.0438713,1,False
ETTh2,DLinear,7,36,0.39138361,0.23117321,0.0451116,0.04518931,1,False
ETTh2,DLinear,7,37,0.39418659,0.23469155,0.03789266,0.04650889,1,False
ETTh2,DLinear,7,38,0.39528435,0.23244715,0.05344709,0.04740428,1,False
ETTh2,DLinear,7,39,0.39159491,0.23550752,0.05204752,0.04540094,1,False
ETTh2,DLinear,7,40,0.39120022,0.22628644,0.04852255,0.04861167,1,False
ETTh2,DLinear,7,41,0.39424355,0.22741036,0.0350949,0.04536779,1,False
ETTh2,DLinear,7,42,0.39145393,0.23950049,0.05394628,0.04202233,1,False
ETTh2,DLinear,7,43,0.39095276,0.23624303,0.03722771,0.04049281,1,False
ETTh2,DLinear,7,44,0.39598539,0.23301763,0.03532022,0.0425937,1,False
ETTh2,DLinear,7,45,0.39280385,0.24145647,0.04087494,0.04647774,1,False
ETTh2,DLinear,7,46,0.39618746,0.23144135,0.04559932,0.07795377,1,False
ETTh2,DLinear,7,47,0.41077376,0.23907745,0.07336652,0.08821429,1,False
ETTh2,DLinear,7,48,0.3980681,0.23310193,0.19460784,0.09076783,1,False
ETTh2,DLinear,7,49,0.4022176,0.23218356,0.08662285,0.09114824,1,False
ETTh2,DLinear,7,50,0.39130153,0.23614172,0.05364264,0.0877893,1,False
ETTh2,DLinear,7,51,0.3913103,0.23098308,0.04750136,0.05839588,1,False
ETTh2,DLinear,7,52,0.39277441,0.23643789,0.05657179,0.04918608,1,False
ETTh2,DLinear,7,53,0.39096098,0.22880018,0.04764078,0.04467769,1,False
ETTh2,DLinear,7,54,0.39136349,0.23389832,0.04057382,0.04150717,1,False
ETTh2,DLinear,7,55,0.39083805,0.2303437,0.03110069,0.03735975,1,False
ETTh2,DLinear,7,56,0.39073936,0.23416084,0.03164876,0.04367647,1,False
ETTh2,DLinear,7,57,0.41165298,0.23322053,0.03583471,0.04676593,1,False
ETTh2,DLinear,7,58,0.39309528,0.22480021,0.07922437,0.04821607,1,False
ETTh2,DLinear,7,59,0.39367241,0.23976341,0.05602111,0.05064675,1,False
ETTh2,DLinear,7,60,0.39148372,0.24010058,0.03835138,0.06156656,1,False
ETTh2,DLinear,7,61,0.39540993,0.23038789,0.04380218,0.09090523,1,False
ETTh2,DLinear,7,62,0.42209434,0.25296976,0.09043378,0.09859491,1,False
ETTh2,DLinear,7,63,0.40242311,0.23199206,0.2259177,0.10197234,1,False
ETTh2,DLinear,7,64,0.39318587,0.23728797,0.09446953,0.10236503,1,False
ETTh2,DLinear,7,65,0.39215792,0.23359887,0.05523849,0.0930744,1,False
ETTh2,DLinear,7,66,0.39165786,0.23463891,0.04576566,0.0595435,1,False
ETTh2,DLinear,7,67,0.39197766,0.23658103,0.0439806,0.0516844,1,False
ETTh2,DLinear,7,68,0.39067551,0.25123144,0.05826324,0.04782787,1,False
ETTh2,DLinear,7,69,0.39166249,0.23544176,0.05517399,0.04485795,1,False
ETTh2,DLinear,7,70,0.39079713,0.23228001,0.03595588,0.04432142,1,False
ETTh2,DLinear,7,71,0.39386503,0.23409712,0.03091604,0.03925481,1,False
ETTh2,DLinear,7,72,0.39236743,0.23182958,0.04129796,0.03579371,1,False
ETTh2,DLinear,7,73,0.39256309,0.23116778,0.03293016,0.03727307,1,False
ETTh2,DLinear,7,74,0.39182121,0.23691563,0.03786851,0.03752218,1,False
ETTh2,DLinear,7,75,0.39094893,0.2331406,0.04335268,0.03920688,1,False
ETTh2,DLinear,7,76,0.39069968,0.23397529,0.03216158,0.04066713,1,False
ETTh2,DLinear,7,77,0.39112727,0.2286002,0.04972146,0.04283982,1,False
ETTh2,DLinear,7,78,0.3923207,0.22937014,0.04023142,0.04400412,1,False
ETTh2,DLinear,7,79,0.39221363,0.23860065,0.04873193,0.04696475,1,False
ETTh2,DLinear,7,80,0.39083065,0.23634421,0.04917421,0.04604585,1,False
ETTh2,MLP,7,1,0.60117795,0.28994025,1.80013829,0.89961485,0,False
ETTh2,MLP,7,2,0.45486747,0.28541774,0.51972024,0.74765226,0,False
ETTh2,MLP,7,3,0.43865207,0.27025479,0.37898601,0.6518343,0,False
