dataset,model,seed,epoch,train_loss,val_loss,velocity_raw,velocity_smooth,velocity_norm,param_movement_raw,param_movement_smooth,param_movement_norm,val_improvement_raw,val_improvement_smooth,val_improvement_norm,criteria_met,is_boundary
ETTh1,DLinear,7,74,0.35105857,0.65668067,0.0,0.00135204,0.09792241,0.03588278,0.04078509,0.16612794,0.0011596,0.00108336,0.10153766,False,False
ETTh1,DLinear,7,75,0.34574127,0.65888679,0.0053173,0.00111829,0.08099327,0.05227079,0.03773193,0.15369163,0.0,0.0010581,0.09917024,False,False
ETTh1,DLinear,7,76,0.34692994,0.65866461,0.0,0.0012672,0.09177801,0.02993109,0.04045812,0.1647961,0.00022219,0.00068969,0.06464099,False,False
ETTh1,DLinear,7,77,0.34997497,0.65659794,0.0,0.00198376,0.1436757,0.03575228,0.04134387,0.16840397,0.00206667,0.00075014,0.07030619,False,False
ETTh1,DLinear,7,78,0.34895628,0.65832754,0.0010187,0.00105903,0.07670103,0.04845365,0.03688328,0.15023487,0.0,0.00082627,0.07744123,False,False
ETTh1,DLinear,7,79,0.34537346,0.65686571,0.00358281,0.00132378,0.09587629,0.04031152,0.03862132,0.15731437,0.00146183,0.00097728,0.09159547,False,False
ETTh1,DLinear,7,80,0.34467984,0.65648507,0.00069363,0.00176505,0.12783505,0.02996785,0.03957767,0.16120982,0.00038064,0.00061416,0.05756146,False,False
ETTh1,MLP,7,2,0.4569186,0.82419061,0.18990885,0.08198512,1.84344704,0.86722371,0.60939179,1.33260466,0.13377516,0.07539446,1.68217412,False,False
ETTh1,MLP,7,3,0.41703945,0.76205613,0.03987915,0.06403679,1.4398762,0.57108446,0.53824822,1.17702946,0.06213448,0.05874006,1.31058707,False,False
ETTh1,MLP,7,4,0.40087208,0.73178239,0.01616737,0.05274265,1.18592601,0.38986719,0.48648136,1.06382682,0.03027375,0.05079103,1.13323123,False,False
ETTh1,MLP,7,5,0.3906803,0.72300554,0.01019178,0.01535556,0.34527189,0.32481751,0.36181814,0.79121601,0.00877685,0.02490697,0.55571539,False,False
ETTh1,MLP,7,6,0.38311418,0.70401062,0.00756612,0.00824895,0.18547886,0.27941393,0.29052926,0.63532305,0.01899492,0.01426575,0.31829219,False,False
ETTh1,MLP,7,7,0.38014081,0.69965576,0.00297337,0.00501548,0.11277375,0.24390761,0.24998406,0.54665969,0.00435486,0.00913134,0.20373526,False,False
ETTh1,MLP,7,8,0.37579468,0.6907274,0.00434612,0.00417566,0.09389041,0.21464006,0.22027598,0.4816947,0.00892835,0.00737597,0.16457007,False,False
ETTh1,MLP,7,9,0.37640365,0.68612567,0.0,0.00266244,0.05986535,0.18714118,0.19442367,0.42516143,0.00460174,0.00405581,0.09049184,False,False
ETTh1,MLP,7,10,0.37041094,0.68661583,0.00599271,0.00208173,0.04680809,0.1762771,0.17501462,0.38271815,0.0,0.00465755,0.10391752,False,False
ETTh1,MLP,7,11,0.37092151,0.68422171,0.0,0.00190124,0.04274964,0.15015237,0.15954413,0.34888761,0.00239412,0.00287188,0.06407629,False,False
ETTh1,MLP,7,12,0.37085167,0.67685818,6.984e-05,0.00246786,0.05549014,0.14686238,0.14664135,0.3206721,0.00736353,0.00239673,0.05347489,False,False
ETTh1,MLP,7,13,0.36740802,0.67883883,0.00344365,0.00126932,0.02854075,0.13728759,0.135106,0.29544685,0.0,0.00277659,0.06195025,False,False
